0, 0, 0.0000000000e+00
1, 6.0000000000e-03, 3.5973949799e-04
2, 1.2000000000e-02, 1.4358560042e-03
3, 1.8000000000e-02, 3.2190936061e-03
4, 2.4000000000e-02, 5.6941912820e-03
5, 3.0000000000e-02, 8.8401265271e-03
6, 3.6000000000e-02, 1.2630447372e-02
7, 4.2000000000e-02, 1.7033684170e-02
8, 4.8000000000e-02, 2.2013830654e-02
9, 5.4000000000e-02, 2.7530882285e-02
10, 6.0000000000e-02, 3.3541418890e-02
11, 6.6000000000e-02, 3.9999217988e-02
12, 7.2000000000e-02, 4.6855885117e-02
13, 7.8000000000e-02, 5.4061487755e-02
14, 8.4000000000e-02, 6.1565180178e-02
15, 9.0000000000e-02, 6.9315807631e-02
16, 9.6000000000e-02, 7.7262479500e-02
17, 1.0200000000e-01, 8.5355102735e-02
18, 1.0800000000e-01, 9.3544868403e-02
19, 1.1400000000e-01, 1.0178468597e-01
20, 1.2000000000e-01, 1.1002956162e-01
21, 1.2600000000e-01, 1.1823691854e-01
22, 1.3200000000e-01, 1.2636685868e-01
23, 1.3800000000e-01, 1.3438236668e-01
24, 1.4400000000e-01, 1.4224945822e-01
25, 1.5000000000e-01, 1.4993727552e-01
26, 1.5600000000e-01, 1.5741813399e-01
27, 1.6200000000e-01, 1.6466752432e-01
28, 1.6800000000e-01, 1.7166407484e-01
29, 1.7400000000e-01, 1.7838947912e-01
30, 1.8000000000e-01, 1.8482839390e-01
31, 1.8600000000e-01, 1.9096831240e-01
32, 1.9200000000e-01, 1.9679941778e-01
33, 1.9800000000e-01, 2.0231442140e-01
34, 2.0400000000e-01, 2.0750839009e-01
35, 2.1000000000e-01, 2.1237856616e-01
36, 2.1600000000e-01, 2.1692418392e-01
37, 2.2200000000e-01, 2.2114628535e-01
38, 2.2800000000e-01, 2.2504753780e-01
39, 2.3400000000e-01, 2.2863205574e-01
40, 2.4000000000e-01, 2.3190522842e-01
41, 2.4600000000e-01, 2.3487355447e-01
42, 2.5200000000e-01, 2.3754448431e-01
43, 2.5800000000e-01, 3.5040397937e-04
44, 2.6400000000e-01, 3.6514605056e-04
45, 2.7000000000e-01, 3.8030283735e-04
46, 2.7600000000e-01, 3.9586950452e-04
47, 2.8200000000e-01, 4.1184172286e-04
48, 2.8800000000e-01, 4.2821723241e-04
49, 2.9400000000e-01, 4.4498767610e-04
50, 3.0000000000e-01, 4.6215610108e-04
